n = 3, group_order = 6 = 2 * 3
2^5, C32
2^4, C16
2^3, C8
2^2, C4
2, C2
3, C3
1, 1

n = 97, group_order = 194 = 2 * 97
2 * 97, D97
97, C97
1, 1

n = 98, group_order = 196 = 2^2 * 7^2
2^2 * 7^2, D98
2 * 7^2, C98
2 * 7^2, D49
2 * 7^2, D49
2 * 7, C14
7^2, C49
2, C2
7, C7
1, 1

n = 99, group_order = 198 = 2 * 3^2 * 11
2 * 3^2 * 11, D99
3^2 * 11, C99
3 * 11, C33
3^2, C9
3, C3
11, C11
1, 1

n = 100, group_order = 200 = 2^3 * 5^2
2^3 * 5^2, D100
2^2 * 5^2, C100
2^2 * 5^2, D50
2^2 * 5^2, D50
2 * 5^2, C50
2^2 * 5, C20
2 * 5, C10
5^2, C25
2^2, C4
2, C2
5, C5
1, 1

